detailLink,name,peopleNumber,positionInfo,publishTime,workLocation
http://hr.tencent.com/position_detail.php?id=25185&keywords=&tid=0&lid=0,SNG03-互动视频web前端开发工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=26070&keywords=&tid=0&lid=0,20762-政府事务经理(北京),1,职能类,2017-08-31,北京
http://hr.tencent.com/position_detail.php?id=25577&keywords=&tid=0&lid=0,SNG02-音视频云高级产品经理（深圳）,2,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=25169&keywords=&tid=0&lid=0,SNG03-互动视频ios高级开发工程师（深圳）,1,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=25173&keywords=&tid=0&lid=0,SNG03-群产品策划经理（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=25177&keywords=&tid=0&lid=0,SNG03-移动APP分发产品经理（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=25178&keywords=&tid=0&lid=0,SNG03-数据分析产品经理（深圳）,1,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=24474&keywords=&tid=0&lid=0,XN-移动客户端产品运营经理(深圳),2,产品/项目类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=21154&keywords=&tid=0&lid=0,TEG05-高级数据运营工程师（深圳）,4,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=19977&keywords=&tid=0&lid=0,TEG05-后台开发高级工程师（深圳）,3,技术类,2017-08-31,深圳
http://hr.tencent.com/position_detail.php?id=32420&keywords=&tid=0&lid=0,21062-资深游戏数值策划（上海）,1,产品/项目类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=32421&keywords=&tid=0&lid=0,21062-资深游戏策划（上海）,1,产品/项目类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=32422&keywords=&tid=0&lid=0,21062-Unity前台开发工程师（上海）,1,技术类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=32423&keywords=&tid=0&lid=0,21062-游戏UI交互设计师（上海）,1,设计类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=32424&keywords=&tid=0&lid=0,RP-应用开发工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32426&keywords=&tid=0&lid=0,SNG16-数据分析工程师（深圳）,1,技术类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32413&keywords=&tid=0&lid=0,OMG192-腾讯广告华北媒介专员（北京）,1,市场类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=32415&keywords=&tid=0&lid=0,19116-互联网+行业商务拓展经理（武汉）,1,市场类,2017-08-30,武汉
http://hr.tencent.com/position_detail.php?id=32416&keywords=&tid=0&lid=0,17759-商业分析师,2,市场类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=32417&keywords=&tid=0&lid=0,SNG06-QQ会员（运营商特权）产品经理（深圳）,1,产品/项目类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32418&keywords=&tid=0&lid=0,22851-腾讯视频明星粉丝运营组长（北京）,1,内容编辑类,2017-08-30,北京
http://hr.tencent.com/position_detail.php?id=32419&keywords=&tid=0&lid=0,21062-创新产品运营经理（上海）,1,产品/项目类,2017-08-30,上海
http://hr.tencent.com/position_detail.php?id=32409&keywords=&tid=0&lid=0,RP-共享服务运营经理（深圳）,1,职能类,2017-08-30,深圳
http://hr.tencent.com/position_detail.php?id=32410&keywords=&tid=0&lid=0,MIG-组织发展经理（深圳）,1,职能类,2017-08-30,深圳
